"ID";"Type";"Name";"Documentation";"Source";"Target";"Specialization"
"id-bc232637d26c45ac99dadf24c3292b9d";"AggregationRelationship";"";"";"id-55298bd32f1f46e1a171a689e47fdf45";"id-200b8500b78348f7a5c90d29a6e83c9d";""
"id-82fec575ec2046059c325e2b2812bb12";"AggregationRelationship";"";"";"id-1d4a343462be40548c3b704b34ed0a04";"id-26075e94bc3a45e5bd94f82ff94cb3df";""
"id-d40998d3877043f0a05829b9d8471806";"AggregationRelationship";"";"";"id-55298bd32f1f46e1a171a689e47fdf45";"id-ea6fb962571e4e359ae999c80ed2911b";""
"id-28cd958d67ad47cda8addceb9592cd68";"AggregationRelationship";"";"";"id-4468c6df9320405e8fce62e54e297b0b";"id-f470de2b314240338bbe820667adfcc1";""
"id-ab03048ce6174efcaca7ae27e3f34ccd";"AggregationRelationship";"";"";"id-4468c6df9320405e8fce62e54e297b0b";"id-560fc8dfa6cd44bf91b50539fba0b6b1";""
"id-31de3bb27ab74965ab24e2e90e668161";"AggregationRelationship";"";"";"id-e28f6311e03a458d8160cc92b818e631";"id-609a60cf87984a5dbf95f3014ffaabe4";""
"id-006a1c6f24974ae1883b380ad807bc13";"AggregationRelationship";"";"";"id-e28f6311e03a458d8160cc92b818e631";"id-355a4933f05343eb9126cbbe186dc491";""
"id-a3b7970e0f474d9a851dfad3a9ed2e53";"AggregationRelationship";"";"";"id-e28f6311e03a458d8160cc92b818e631";"id-28d5af919d424884a8036ce96f1a2dc6";""
"id-a522680685dc435897951b74facdc2ad";"AggregationRelationship";"";"";"id-e28f6311e03a458d8160cc92b818e631";"id-e217da93488d40ee9bb645eb8c4f7a4a";""
"id-2f1f2fd35a7845a8b5713ce9b821cc7a";"AggregationRelationship";"";"";"id-1d4a343462be40548c3b704b34ed0a04";"id-1be09f00bdec4042be71475bac513aaf";""
"id-4805026a21af4a5c9e84f66677ac448d";"AggregationRelationship";"";"";"id-1d4a343462be40548c3b704b34ed0a04";"id-4bd3c4de811b45ef8f2ec2008fb18bb5";""
"id-a6c689990e3a4a5ebf1bc54cd7309f4f";"AggregationRelationship";"";"";"id-55298bd32f1f46e1a171a689e47fdf45";"id-1dc60d35935e42b1852fb9b0ba0eabe0";""
"id-2a1d5e94af0c4d56a95c717813840f3e";"AggregationRelationship";"";"";"id-55298bd32f1f46e1a171a689e47fdf45";"id-1890efdaadbb4f94881cd3adea40f55e";""
"id-20d19a9b5630481dbb83881ae73700fb";"AggregationRelationship";"";"";"id-4468c6df9320405e8fce62e54e297b0b";"id-afcce245fdf54a238929116287e8713a";""
"id-99d5db1f0fb74ff2b28a682751f36126";"AggregationRelationship";"";"";"id-55298bd32f1f46e1a171a689e47fdf45";"id-aed1f376194f4247921b812b4103a0b0";""
"id-9a663e2735924ddeb8c243593f4e1ac0";"AggregationRelationship";"";"";"id-4468c6df9320405e8fce62e54e297b0b";"id-aed1f376194f4247921b812b4103a0b0";""
"id-9131aa02be5148ebb8bf64a49590bbed";"AggregationRelationship";"";"";"id-e28f6311e03a458d8160cc92b818e631";"id-aed1f376194f4247921b812b4103a0b0";""
"id-5189d654375b4863a4848ec7d1e9719b";"AggregationRelationship";"";"";"id-e28f6311e03a458d8160cc92b818e631";"id-119261f09dac4aa8b904e031397ece7d";""
"id-f844ba1753384722be9c38b9895e8680";"AggregationRelationship";"";"";"id-1d4a343462be40548c3b704b34ed0a04";"id-bc835a786a114cfbaa696359c0c5a830";""
"id-2aad9de97bfc47c19c77634d1457881b";"AggregationRelationship";"";"";"id-1d4a343462be40548c3b704b34ed0a04";"id-1d3c929087384744a4e3085855f62e70";""
"id-2114ff141a0540a48555fba9a0196e7b";"AggregationRelationship";"";"";"id-55298bd32f1f46e1a171a689e47fdf45";"id-25b0530c716d41649380e8103fc59d9d";""
"id-883311e6ea3740cbb266ab71b3e10d44";"AggregationRelationship";"";"";"id-55298bd32f1f46e1a171a689e47fdf45";"id-dcbde17d87504c25b30cf4ed152768c6";""
"id-edbf672512944ca2a9b8bb27da1a27c2";"AggregationRelationship";"";"";"id-55298bd32f1f46e1a171a689e47fdf45";"id-5875803221af426f80620d07daabe855";""
"id-25fef108e6b843389983a88f7b03fe84";"AggregationRelationship";"";"";"id-55298bd32f1f46e1a171a689e47fdf45";"id-c4c21f1f1db44c49ae09d884fee203aa";""
"id-4716c4681aa24f3e801ed3d3bf03cb41";"AggregationRelationship";"";"";"id-4468c6df9320405e8fce62e54e297b0b";"id-1c7946d0e0fd4f679570f107ee58938e";""
"id-477e10d800074d7cb7ef3487b2800c26";"AggregationRelationship";"";"";"id-4468c6df9320405e8fce62e54e297b0b";"id-5875803221af426f80620d07daabe855";""
"id-6e716b68695842ca93cc4dd3f5a0a5aa";"AggregationRelationship";"";"";"id-e28f6311e03a458d8160cc92b818e631";"id-02e3453a5c3c41598539dbdcc54df833";""
"id-d6fc80ae28ca420db40d9ac3752e355b";"AggregationRelationship";"";"";"id-e28f6311e03a458d8160cc92b818e631";"id-1d3c929087384744a4e3085855f62e70";""
"id-f52e7a08fed84fefb29e18ce93ca8e19";"AggregationRelationship";"";"";"id-e28f6311e03a458d8160cc92b818e631";"id-5875803221af426f80620d07daabe855";""
"id-e3639efe588f4003a5cbea08f60fdc08";"AggregationRelationship";"";"";"id-55298bd32f1f46e1a171a689e47fdf45";"id-c1a3401ae62b43909145f19a35aed9ef";""
"id-a3de9be0f22d4db08b5e922d4e9c652b";"AggregationRelationship";"";"";"id-55298bd32f1f46e1a171a689e47fdf45";"id-975aa346a3da4ad393b24cae20b30160";""
"id-a9b2c29be47e40ffa4bd0c888a442d21";"AggregationRelationship";"";"";"id-55298bd32f1f46e1a171a689e47fdf45";"id-1c7946d0e0fd4f679570f107ee58938e";""
"id-4da2eca0c7ef45609605c2efa57d637e";"AggregationRelationship";"";"";"id-55298bd32f1f46e1a171a689e47fdf45";"id-c568d140589d4ead9cd76c34d62d9523";""
"id-7c7d769361c5454e8bb5a299061f007d";"AggregationRelationship";"";"";"id-55298bd32f1f46e1a171a689e47fdf45";"id-38c3fd61e5714c9c8f45b5b0514c63f2";""
"id-6729f98ac06a4b4f9358ce6f0a880ecd";"AggregationRelationship";"";"";"id-4468c6df9320405e8fce62e54e297b0b";"id-38c3fd61e5714c9c8f45b5b0514c63f2";""
"id-c53006529dff4ed4a05053cdd34f7f1c";"AggregationRelationship";"";"";"id-e28f6311e03a458d8160cc92b818e631";"id-1c7946d0e0fd4f679570f107ee58938e";""
"id-d1e08c62996c42e8bc2aace9a85a1f93";"AggregationRelationship";"";"";"id-e28f6311e03a458d8160cc92b818e631";"id-c1a3401ae62b43909145f19a35aed9ef";""
"id-b62a5540e2ad40068cff8e2cf8740e54";"AggregationRelationship";"";"";"id-1d4a343462be40548c3b704b34ed0a04";"id-c3d9cd541af74fb0a231562f974570d0";""
"id-683c9944445843b4845cb627abadbf86";"AggregationRelationship";"";"";"id-55298bd32f1f46e1a171a689e47fdf45";"id-028635c984794e51a1d3417497e8963e";""
"id-e5017f7a41674691b0e47f9a330cff33";"AggregationRelationship";"";"";"id-55298bd32f1f46e1a171a689e47fdf45";"id-bc835a786a114cfbaa696359c0c5a830";""
"id-77cc73c25a474602829dc7c7b03d3bd6";"AggregationRelationship";"";"";"id-55298bd32f1f46e1a171a689e47fdf45";"id-d6334dd0222a49b7b63aae639582af7e";""
"id-6c7fd22084be4b319641dcd50ad815e5";"AggregationRelationship";"";"";"id-55298bd32f1f46e1a171a689e47fdf45";"id-7dbcc119c06e48348a6271e29f37477c";""
"id-ddd45fbd2a8b4f0b84232e2e74984ee1";"AggregationRelationship";"";"";"id-55298bd32f1f46e1a171a689e47fdf45";"id-a4558b4062b9462fa5bec72719c26e62";""
"id-d70d1fae42ba4dc8b43682d2abd0c959";"AggregationRelationship";"";"";"id-55298bd32f1f46e1a171a689e47fdf45";"id-836447ef7eef45f88e3670ef06b955a5";""
"id-4ece0396e1f1486793ebeb61125ffd46";"AggregationRelationship";"";"";"id-55298bd32f1f46e1a171a689e47fdf45";"id-ebcec6c0cfda4092b4fac5e94076279f";""
"id-340b3c16ed5a4f10b73d18768b853334";"AggregationRelationship";"";"";"id-4468c6df9320405e8fce62e54e297b0b";"id-75c4386cc0fe47bb8e1c0f09bdb7b758";""
"id-2c1dcce5a6b747a18dcf1be41232e6e5";"AggregationRelationship";"";"";"id-e28f6311e03a458d8160cc92b818e631";"id-ebcec6c0cfda4092b4fac5e94076279f";""
"id-11b44384ff004ffd9043f6f3bea357c6";"AggregationRelationship";"";"";"id-e28f6311e03a458d8160cc92b818e631";"id-a82f5160e2a24dc5bbd7636306eedf4a";""
"id-dfda338e947644ab926d8eafaa58c879";"AggregationRelationship";"";"";"id-e28f6311e03a458d8160cc92b818e631";"id-a13c96b1831549e59cf8138c733117bd";""
"id-c92486613cce4cf5a7a8e59190d6cc70";"AggregationRelationship";"";"";"id-e28f6311e03a458d8160cc92b818e631";"id-0411dadff7694a9eaec5db3b162c4236";""
"id-1cf071331b104a7b8426bd158adf3547";"AggregationRelationship";"";"";"id-e28f6311e03a458d8160cc92b818e631";"id-7dbcc119c06e48348a6271e29f37477c";""
"id-c6141384096b491c8a08d669d51d5a96";"AggregationRelationship";"Aggregeert";"";"id-0504999ce61e49df8699ef95d21fff88";"id-27773";""
"id-27462";"AssociationRelationship";"";"";"id-27464";"id-27463";""
"id-27465";"AssociationRelationship";"";"";"id-27464";"id-27466";""
"id-27772";"AssociationRelationship";"";"";"id-d3a51b2dbc464391b29acebefaa5b212";"id-27464";""
"id-28669";"AssociationRelationship";"";"";"id-28683";"id-27466";""
"id-a3b0a43af480448889be1df08f15934c";"AssociationRelationship";"";"";"id-d3a51b2dbc464391b29acebefaa5b212";"id-28683";""
"id-27778";"AssociationRelationship";"Hangt samen";"";"id-27769";"id-27769";""
"id-59dabf8af1b04321a3ed860ed8d98f78";"AssociationRelationship";"O.a. wendbaar, innovatief";"";"id-28628";"id-27809";""
"id-1e6480a5e03244389d185703aa9951b7";"AssociationRelationship";"Verwijst naar";"";"id-27773";"id-d3a51b2dbc464391b29acebefaa5b212";""
"id-28667";"AssociationRelationship";"Verwijst naar";"";"id-27773";"id-28683";""
"id-f256ca5452f742849cc8feb1dc5507a5";"AssociationRelationship";"Worden overgenomen in";"";"id-27463";"id-27466";""
"id-e535633a7939430eab14eec4a5556863";"AssociationRelationship";"Wordt opgenomen als";"";"id-27775";"id-27768";""
"id-08a54de7209e4140b09fe0e0f17aae27";"CompositionRelationship";"";"";"id-ff64dbc7ec40487e9441bd0a379ec636";"id-52039c5844964e82947a6851cd80901c";""
"id-18d24efad4e94fafafb7090848f938ef";"CompositionRelationship";"";"";"id-ff64dbc7ec40487e9441bd0a379ec636";"id-3fb78bf04b66463f95f8b7f063ef58e7";""
"id-981682e2374f4664800740e5484a61fe";"CompositionRelationship";"";"";"id-ff64dbc7ec40487e9441bd0a379ec636";"id-06308939466e4710a3ee5be4708f8b43";""
"id-a0698434dd7f46c18cb7c8e48047afc8";"CompositionRelationship";"";"";"id-ff64dbc7ec40487e9441bd0a379ec636";"id-451e011b3dee402b92b056a69008048f";""
"id-b8d76aac78fd4cf8852997c01bdfc6a2";"CompositionRelationship";"";"";"id-ff64dbc7ec40487e9441bd0a379ec636";"id-11d72df663ce4225be42f400e0ca49da";""
"id-f56eae24b63245c18c7062a985366a95";"CompositionRelationship";"";"";"id-ff64dbc7ec40487e9441bd0a379ec636";"id-88756c9d34004996ba68173b7beffeeb";""
"id-fff1edb74d11421599d1ba23e3767582";"CompositionRelationship";"";"";"id-ff64dbc7ec40487e9441bd0a379ec636";"id-f7b791ac7daa4926a8c9d1b1a1947a94";""
"id-07a4b716e8c54b5b83e6b205b5a53b4a";"InfluenceRelationship";"";"";"id-37364";"id-28626";""
"id-09f5a9817020454d9b20fd9d375cb976";"InfluenceRelationship";"";"";"id-104bd59460254f79b259955b31d1cf71";"id-37364";""
"id-113f7f7398db42489b7adf2dd89fd7e0";"InfluenceRelationship";"";"";"id-3438e667279f48589817071797f7b16a";"id-37371";""
"id-156c59dd2f4141d3b5c97f057a7a407a";"InfluenceRelationship";"";"";"id-5af0cd200f454f6693a75497121b6ee2";"id-28646";""
"id-17668d99d60a45ee88abe4a9b7e56d96";"InfluenceRelationship";"";"";"id-47502f18c81d4ba9a53a69abd5604ab7";"id-28639";""
"id-176b3c6fa50040cbb0b3f630f0dc51cf";"InfluenceRelationship";"";"";"id-485d1c6ccd5a4babaa9a2280d0b52d50";"id-28637";""
"id-18ca5d0b8eb441d98075323e136e068f";"InfluenceRelationship";"";"";"id-5355488d577d47aaabdc79317e6f81c1";"id-28635";""
"id-1c5f1f255aa2456bb9367bbe7c7e840f";"InfluenceRelationship";"";"";"id-3467be28912c4528a781bc5f3c49eb25";"id-37370";""
"id-1e36428f3fb64ee485ce1301b50a2dd4";"InfluenceRelationship";"";"";"id-28636";"id-28627";""
"id-231cf900a8d343abb687c13a805539ca";"InfluenceRelationship";"";"";"id-37367";"id-28626";""
"id-26d96368be2a47c9a560927607519e88";"InfluenceRelationship";"";"";"id-09e7d6a53ed0474ca1fb4c7161a52090";"id-37368";""
"id-27770";"InfluenceRelationship";"";"";"id-27771";"id-27463";""
"id-27774";"InfluenceRelationship";"";"";"id-27771";"id-27775";""
"id-28422c96ad9c4a64820b800a250676f1";"InfluenceRelationship";"";"";"id-37369";"id-28625";""
"id-28845";"InfluenceRelationship";"";"";"id-28637";"id-28628";""
"id-28863";"InfluenceRelationship";"";"";"id-28639";"id-28628";""
"id-28864";"InfluenceRelationship";"";"";"id-28640";"id-28628";""
"id-2a6177a264f54318abb07226039fff66";"InfluenceRelationship";"";"";"id-c0d8f60ca7864a67b4a25e1d7b6350f1";"id-28649";""
"id-2a9812f7236d4770bd77fb474431dcdb";"InfluenceRelationship";"";"";"id-efc290bd97024c25a8e7325919c0b333";"id-37371";""
"id-2da8e6ea06a544a9860376d6936deac8";"InfluenceRelationship";"";"";"id-e5e84945efa4445cbb1797d54aae3bfc";"id-37370";""
"id-2f7de49e33754e0ab8377b878a83574a";"InfluenceRelationship";"";"";"id-28634";"id-28627";""
"id-3495462a55cc444db9063d0eb1ca8020";"InfluenceRelationship";"";"";"id-37370";"id-28626";""
"id-34f3d09d6f3e480ca374f6bca51a6c54";"InfluenceRelationship";"";"";"id-37371";"id-28629";""
"id-3925e94441ad45bfa05dd9748971da60";"InfluenceRelationship";"";"";"id-781e24c7e4994d668a15b84a8be1f887";"id-28636";""
"id-3adb3cec06dc47aaa169fdf29bb7d666";"InfluenceRelationship";"";"";"id-37373";"id-28627";""
"id-3be822b5ecc24a0190a24f3295b38c0e";"InfluenceRelationship";"";"";"id-6f46b3a7f9c44eea9d19a775aa3ea399";"id-37372";""
"id-3f656d4791794dd6b64a8015c33b1f23";"InfluenceRelationship";"";"";"id-efc290bd97024c25a8e7325919c0b333";"id-37366";""
"id-407f9291e4f94880af8aba56e9592ce7";"InfluenceRelationship";"";"";"id-3438e667279f48589817071797f7b16a";"id-37372";""
"id-40ca4fe981b548fe971e443d39e140d7";"InfluenceRelationship";"";"";"id-c39ab7617b47464e8ed85ea33c06ef78";"id-28634";""
"id-41f9a0917edc4a43b2770d4e6ed606cf";"InfluenceRelationship";"";"";"id-27906484075a4f289d77c8ef6d69eeff";"id-37375";""
"id-43ce98a9a99c4d24a15e1e154ae93de0";"InfluenceRelationship";"";"";"id-5355488d577d47aaabdc79317e6f81c1";"id-28636";""
"id-4814a4024c5845259a20f7f839a5291b";"InfluenceRelationship";"";"";"id-bf301f76888149048fe37618c20d0def";"id-37368";""
"id-5d55151fbf494e1f9961aef2fdcda0ba";"InfluenceRelationship";"";"";"id-3438e667279f48589817071797f7b16a";"id-37366";""
"id-65dd4c9cd4a6462783d6da32c932becf";"InfluenceRelationship";"";"";"id-c2414c1a37e44dde9b83ebaadfdbad4c";"id-37367";""
"id-674475938b044b6280a5b797e6e6abd4";"InfluenceRelationship";"";"";"id-8ad4d99f98fd4cb486385efaafdf0598";"id-28640";""
"id-6b030f1bf1a04c0ca35c744cbb2f7975";"InfluenceRelationship";"";"";"id-2370bca5c3434d9cac6405834583a12d";"id-37367";""
"id-701776df2b664a5b8caf9180f210a80f";"InfluenceRelationship";"";"";"id-3467be28912c4528a781bc5f3c49eb25";"id-37364";""
"id-8423cadb19104d798005c740c37481be";"InfluenceRelationship";"";"";"id-147ae02631c84a9392cde57c4861e4d0";"id-37373";""
"id-868d1521ba824467a52eac1654d7e901";"InfluenceRelationship";"";"";"id-47502f18c81d4ba9a53a69abd5604ab7";"id-28640";""
"id-884dbf32a73a4deaa5a9258b0b4236ef";"InfluenceRelationship";"";"";"id-28635";"id-28627";""
"id-89083b73c5074b3781e132cec8f7e615";"InfluenceRelationship";"";"";"id-efc290bd97024c25a8e7325919c0b333";"id-28649";""
"id-8de09656c7504db1bc761e9e50e28cca";"InfluenceRelationship";"";"";"id-bf301f76888149048fe37618c20d0def";"id-37369";""
"id-97ae88fce0fb4478883dd2c312bea8bb";"InfluenceRelationship";"";"";"id-37366";"id-28629";""
"id-98d788306dd94f43a8e3ff8faf3cb396";"InfluenceRelationship";"";"";"id-6f46b3a7f9c44eea9d19a775aa3ea399";"id-28649";""
"id-9c24906dc07a44b89f7682105f4dbdf7";"InfluenceRelationship";"";"";"id-147ae02631c84a9392cde57c4861e4d0";"id-37375";""
"id-9c2d71bd64874c208945c799cac1d4ba";"InfluenceRelationship";"";"";"id-27906484075a4f289d77c8ef6d69eeff";"id-28637";""
"id-9de745dc96ee4bd5893821f4da86a7a0";"InfluenceRelationship";"";"";"id-27906484075a4f289d77c8ef6d69eeff";"id-28634";""
"id-9ef247cc9dac406c956fbac0db0f4772";"InfluenceRelationship";"";"";"id-27906484075a4f289d77c8ef6d69eeff";"id-28640";""
"id-a11ff987545746bebaec09d327200ba6";"InfluenceRelationship";"";"";"id-37368";"id-28625";""
"id-a20c002fe3594d209b646911dca9ae82";"InfluenceRelationship";"";"";"id-3467be28912c4528a781bc5f3c49eb25";"id-28646";""
"id-a9e0d9986bcd46ba90394df7e0ff788a";"InfluenceRelationship";"";"";"id-37375";"id-28627";""
"id-a9e9ae28b0b3417789a7df17c77e24bd";"InfluenceRelationship";"";"";"id-6f46b3a7f9c44eea9d19a775aa3ea399";"id-37366";""
"id-aceedc6ffe5d4bd284cff75e77d71ec2";"InfluenceRelationship";"";"";"id-28649";"id-28629";""
"id-af24bd6032d34bf49f17fc2ef05b58c4";"InfluenceRelationship";"";"";"id-6f46b3a7f9c44eea9d19a775aa3ea399";"id-37371";""
"id-af6fce06ca744cbca1aaabcbc440911c";"InfluenceRelationship";"";"";"id-5af0cd200f454f6693a75497121b6ee2";"id-37372";""
"id-b31b4ba3c7bc471cb93400cef845668e";"InfluenceRelationship";"";"";"id-37372";"id-28629";""
"id-bf4207756ee44df7b1f0adc9967cb4a7";"InfluenceRelationship";"";"";"id-09e7d6a53ed0474ca1fb4c7161a52090";"id-37369";""
"id-c65594b6317e4b9a841b113b766e38e8";"InfluenceRelationship";"";"";"id-28646";"id-28626";""
"id-cbe32f61bef64b52b12bc16c316a2245";"InfluenceRelationship";"";"";"id-ffdfe0ee899f4954b8a5c6526a4689a7";"id-28636";""
"id-ce3c6e21d02a4dd688faa372c639cb60";"InfluenceRelationship";"";"";"id-fafe315807694a02bfd4e4f935fc7ced";"id-28636";""
"id-d08fae23e036474db49a4deef5cead9c";"InfluenceRelationship";"";"";"id-3438e667279f48589817071797f7b16a";"id-28649";""
"id-d0c9dc0d6c3f4217a7693cdb7ef0192c";"InfluenceRelationship";"";"";"id-37365";"id-28625";""
"id-d2f5d528ae004e83b9ff8123617c0a0b";"InfluenceRelationship";"";"";"id-4de4a3c6ebbb469299334695475afee1";"id-37373";""
"id-d3eeae7b8c7344ae9fccee871bef7e7a";"InfluenceRelationship";"";"";"id-9aa20b6b9d914a6ab816f6900a0c955b";"id-28636";""
"id-d8cd3b3d24ed4602bb2ac08fb876ad8c";"InfluenceRelationship";"";"";"id-21eacf9eea3a42deb02a4a4c37e689c5";"id-37364";""
"id-dc70ec330f5046f8b124ab466eb6009d";"InfluenceRelationship";"";"";"id-f20fd85f5f7745a99b86935104c1c922";"id-37373";""
"id-de413ecb42144ef8885a659ecc45df03";"InfluenceRelationship";"";"";"id-3438e667279f48589817071797f7b16a";"id-37374";""
"id-e215d30e82144e429aeb6840988598a8";"InfluenceRelationship";"";"";"id-a650add5b61f49509eeadfb63740ca43";"id-37364";""
"id-e3baaec4bc0740eea02d44f6734e1732";"InfluenceRelationship";"";"";"id-147ae02631c84a9392cde57c4861e4d0";"id-37365";""
"id-eb09e1cd00964b26a21af11a87a30ada";"InfluenceRelationship";"";"";"id-bf301f76888149048fe37618c20d0def";"id-37365";""
"id-eea8772f7df444fbbb3928c18b0a99e0";"InfluenceRelationship";"";"";"id-147ae02631c84a9392cde57c4861e4d0";"id-28634";""
"id-ef598ee15d914cc9b0577ac35e1487f1";"InfluenceRelationship";"";"";"id-37374";"id-28629";""
"id-f720f4182de9417287947addd3bf6f13";"InfluenceRelationship";"";"";"id-3467be28912c4528a781bc5f3c49eb25";"id-37367";""
"id-fa8175be8ebb4f45ba5c7f3f39534903";"InfluenceRelationship";"";"";"id-fafe315807694a02bfd4e4f935fc7ced";"id-37375";""
"id-fea82638ab814f3081d39c43bf728eca";"InfluenceRelationship";"";"";"id-27768";"id-ff64dbc7ec40487e9441bd0a379ec636";""
"id-c5f866160ce34a1794039221d3b793e5";"InfluenceRelationship";"Concete implicaties per laag";"";"id-27773";"id-ff64dbc7ec40487e9441bd0a379ec636";""
"id-27779";"InfluenceRelationship";"Is grondslag voor";"";"id-27771";"id-27768";""
"id-5a84af99967a4d3eb276716e9d4c8bf7";"InfluenceRelationship";"Richting geven (het 'hoe')";"";"id-27466";"id-ff64dbc7ec40487e9441bd0a379ec636";""
"id-27767";"InfluenceRelationship";"Verbinden";"";"id-27768";"id-27769";""
